"code_id","source_path","language","analysis_stage","current_status","inputs","outputs","dependencies","validation_source","duplicate_of","included_in_repo","repo_destination","notes"
"CI062","REPO_ROOT/src/cardozo_ketamine_hr/upstream/forensic_finalize_pooled_parent_ketamine_activity_v3.py","Python","forensic activity v3","CURRENT_PRODUCTION","v2 outputs; PDSP","81-target forensic summary","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","RECOVERED_ROOT/shared/common_scripts/forensic_finalize_pooled_parent_ketamine_activity_v3.py","YES","src/cardozo_ketamine_hr/upstream/forensic_finalize_pooled_parent_ketamine_activity_v3.py","sha256=F2EA1A22B2DAB55267E65DED6DAE23645EEC1A962FD7A7C61B44B3B6EA8C2A91"
"CI063","REPO_ROOT/src/cardozo_ketamine_hr/upstream/generate_pooled_parent_ketamine_expanded58_hr_v2.py","Python","expanded58 HR v2","CURRENT_PRODUCTION","HR-v1; recovered expression; v4","58x77 HR","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","RECOVERED_ROOT/unknown_project/code/generate_pooled_parent_ketamine_expanded58_hr_v2.py","YES","src/cardozo_ketamine_hr/upstream/generate_pooled_parent_ketamine_expanded58_hr_v2.py","sha256=CFDC40D395C45CD5C7A0D5B381119DE33FC98F11177865DCFCDEC3CCAA0B8AC4"
"CI064","REPO_ROOT/src/cardozo_ketamine_hr/upstream/generate_pooled_parent_ketamine_full_hr_v1.py","Python","full-tissue HR v1","CURRENT_PRODUCTION","v4 activity; 77-tissue expression","38x77 HR and missing38 list","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","RECOVERED_ROOT/unknown_project/code/generate_pooled_parent_ketamine_full_hr_v1.py","YES","src/cardozo_ketamine_hr/upstream/generate_pooled_parent_ketamine_full_hr_v1.py","sha256=49DFAF91251C28CC67E09D3403B849A839D6680D39C207C2BCAE718A0D3820A2"
"CI065","REPO_ROOT/src/cardozo_ketamine_hr/upstream/generate_pooled_parent_ketamine_strict18_fingerprint_v1.py","Python","strict18 pooled fingerprint","CURRENT_PRODUCTION","expanded58 HR; CNS18","58x18 HR and 19/14 calls","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","RECOVERED_ROOT/unknown_project/code/generate_pooled_parent_ketamine_strict18_fingerprint_v1.py","YES","src/cardozo_ketamine_hr/upstream/generate_pooled_parent_ketamine_strict18_fingerprint_v1.py","sha256=67E4DCAE8F6CBC412527CD2AD0BDE0D57DCF6AFD199EC3F4D90EE66D769F1034"
"CI066","REPO_ROOT/src/cardozo_ketamine_hr/upstream/whole_body_fingerprint_authority.py","Python","whole-body fingerprint","CURRENT_PRODUCTION","full77 HR and GESD method","59/38 calls and figure exports","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/manuscript_figures/Ketamine_whole_body_fingerprint/scripts/build_whole_body_fingerprint.py","YES","src/cardozo_ketamine_hr/upstream/whole_body_fingerprint_authority.py","sha256=438C00EFE2632D1F9F6F7F3EEC54EE6AFD5ACDA879183E004C54EC76EB6A81FD"
"CI067","REPO_ROOT/src/cardozo_ketamine_hr/utilities.py","Python","utilities","CURRENT_PRODUCTION","governed stage inputs","stage-specific products","Python 3.12; scientific Python stack","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","PROJECT_ROOT/09_CODE_AND_PIPELINES/Pooled_Parent_Ketamine_Complete_Comparative_Rebuild/src/utilities.py","YES","src/cardozo_ketamine_hr/utilities.py","sha256=C11BA3BDEBEB7FA96E706F9C5C5A43A767F3F771923DE8F67BFCD9C59BD3BD91"
"CI068","REPO_ROOT/tests/conftest.py","Python","test fixtures","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/conftest.py","sha256=1F9BED1E268BF50DA63CE96ECE6FAC298BBAE3044406ED1E18400DBA73700935"
"CI069","REPO_ROOT/tests/test_activity_normalization.py","Python","activity normalization","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/test_activity_normalization.py","sha256=7A50BF4290287985D3863A2BB3A31B4525E8355E1C6F63757CB9A409CA10966E"
"CI070","REPO_ROOT/tests/test_compound_identity_separation.py","Python","compound identity separation","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/test_compound_identity_separation.py","sha256=D0EDD6BD7CF536DF65BF5797361AEFE21DC3C607644C07B7BE0BA7D2DFC836F7"
"CI071","REPO_ROOT/tests/test_cpu_gpu_equivalence.py","Python","cpu gpu equivalence","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/test_cpu_gpu_equivalence.py","sha256=FCD5465E6205C444105B825CD1D3CFDE835B67EA2ACBDA95B79B104A989776FD"
"CI072","REPO_ROOT/tests/test_expression_standardization.py","Python","expression standardization","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/test_expression_standardization.py","sha256=8CD311411FDC9EAF911B99EE361BB9890F9FCB98A47312BCE0882B282F7BBD7D"
"CI073","REPO_ROOT/tests/test_external_reuse.py","Python","external reuse","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/test_external_reuse.py","sha256=71FF0FD12B0E04B036C0F1F42667714F5D74F9808BF9575606D80557661F9976"
"CI074","REPO_ROOT/tests/test_final_family_completion.py","Python","final family completion","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/test_final_family_completion.py","sha256=8A84B87AF9AAA735E02A771EB14650647AA736786FC04052455AC4BFC4B984A0"
"CI075","REPO_ROOT/tests/test_fixed_reference_projection.py","Python","fixed reference projection","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/test_fixed_reference_projection.py","sha256=A8CD3478C0A7A2B7AFB5E61058D8CC35D048078E64B85DCAAB5F1B07A2712633"
"CI076","REPO_ROOT/tests/test_gesd_regression.py","Python","gesd regression","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/test_gesd_regression.py","sha256=9D33D9F6FF7B7922D31710640DC1812B95D2477121C6278728A61F22F2F3CBA5"
"CI077","REPO_ROOT/tests/test_governance_configs.py","Python","governance configs","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/test_governance_configs.py","sha256=B40042F536070AACB2C36126D03926D3DF4FF7F0D0FCB1EB0A763685736ED3BC"
"CI078","REPO_ROOT/tests/test_governance_statuses.py","Python","governance statuses","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/test_governance_statuses.py","sha256=76A590058B22AB5D94D26C0BB406E86D4676FA680B48FEF1653D259ED89AC248"
"CI079","REPO_ROOT/tests/test_heatmap_call_count.py","Python","heatmap call count","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/test_heatmap_call_count.py","sha256=4A3000F8AE64C93E1FF18226D2B7E6EDFB380A25CCA4842A5AA3162AE5A3A439"
"CI080","REPO_ROOT/tests/test_hr_construction.py","Python","hr construction","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/test_hr_construction.py","sha256=5614B7F162BF86ECB69024875C889389B539728B93B3897A26D656A1013C0745"
"CI081","REPO_ROOT/tests/test_identity_resolution.py","Python","identity resolution","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/test_identity_resolution.py","sha256=DAB3C2CD18DAED560B202CCDA213AE3DC6539BC194366B677B6214AFDA358E2C"
"CI082","REPO_ROOT/tests/test_multivariate_rank_handling.py","Python","multivariate rank handling","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/test_multivariate_rank_handling.py","sha256=82E39DEF3F611360EED216B8018C01E1BB0F2C59AAD32D2089F8B8D5A3B314AB"
"CI083","REPO_ROOT/tests/test_pairwise_metrics.py","Python","pairwise metrics","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/test_pairwise_metrics.py","sha256=9CC633CDAD2D824B8BFF0668281C03396AB27D3BB408EE204CBFF20597C73EC2"
"CI084","REPO_ROOT/tests/test_pooled_authority_counts.py","Python","pooled authority counts","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/test_pooled_authority_counts.py","sha256=38F3294176337337F558B6B8A4FC39AAFD415D712EFD0BD830BC0F8F703A4330"
"CI085","REPO_ROOT/tests/test_portable_release_outputs.py","Python","portable release outputs and Full provenance","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/test_portable_release_outputs.py","sha256=E1A1A1579FDAA92DB90ABA53E11B2A2F5B7C604E0F3A4F833CAB45EF2AF44C2A"
"CI086","REPO_ROOT/tests/test_resource_limits.py","Python","resource limits","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/test_resource_limits.py","sha256=C3194FEA5164CBE0994C5891F02312A7A771CE0BD05B91F954C87A2F5DBB4CA7"
"CI087","REPO_ROOT/tests/test_target_mapping.py","Python","target mapping","CURRENT_VALIDATION","synthetic and frozen fixtures","pytest assertions","pytest; package","audits/PUBLIC_SCIENTIFIC_EQUIVALENCE.md","","YES","tests/test_target_mapping.py","sha256=AF9F501ADBFF0F1A33301A01246157AA3757493AE01F9817E5B345D8266B8BC3"
"CI088","REPO_ROOT/workflow/Snakefile","Snakemake","workflow integration","PUBLIC_REFERENCE_ONLY_NOT_RELEASE_VALIDATED","repo frozen inputs","Smoke and Verify products","Snakemake; Python 3.12","docs/DEVELOPER_GUIDE.md","","YES","workflow/Snakefile","sha256=4D1009A8A46CC5099ADDD551FEAC4A75E144D36F03CC93CE5243ADF7B9A02F2B; Snakemake is not pinned or exercised by release validation"
